title,price,link
1958 Triumph tr3a,"$17,700",https://web.facebook.com/marketplace/item/1280833906547622/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
Specialized Turbo Levo,"$1,900",https://web.facebook.com/marketplace/item/1531499601571461/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
ONAN CUMMINS 4000 GENERATOR EMERALD PLUS res ONAN Cummins de 4000,$440,https://web.facebook.com/marketplace/item/569735442498825/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
brown carhartt jacket,$80,https://web.facebook.com/marketplace/item/962736858774845/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
Vevor mini pottery wheel,$35,https://web.facebook.com/marketplace/item/618535617425842/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
Modded WT1048 Carbs,$115,https://web.facebook.com/marketplace/item/1068402000855635/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
Suicune card Pokémon #14 foil 2001,$45,https://web.facebook.com/marketplace/item/925815739749160/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
bath room or leaving room lam,$40,https://web.facebook.com/marketplace/item/455262117640583/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
Follow,,https://www.facebook.com/people/Mikhal-Mike/pfbid0JJiDULj2PJbnZB62ihG6FprateVVPb6WKanTZvtghPwK9XGsa5sHExD61Mtr5vWHl/
Sell,,https://www.facebook.com/login/device-based/regular/login/?login_attempt=1&next=https%3A%2F%2Fwww.facebook.com%2Fmarketplace%2Fprofile%2F100089617338533%2F%3F_rdc%3D1%26_rdr
2008 Harley-Davidson roadglide,"$6,000",https://web.facebook.com/marketplace/item/1156948719322298/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
2015 Honda fit EX Hatchback 4D,"$6,500",https://web.facebook.com/marketplace/item/2287547681615651/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
1994 Toyota sea breeze,"$15,800",https://web.facebook.com/marketplace/item/1963625060793633/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
2010 Ford fusion Se,"$3,300",https://web.facebook.com/marketplace/item/1789420061882115/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
