title,price,link,highlight
Optical Quantum 6X 50GB BD-R DL Double Layer White Inkjet Hub Printable - 10 pcs,"ETB 4692
5285

",https://www.ubuy.et/en/product/1HA6D0DV8-optical-quantum-oqbdrdl06wiph-10-6x-50-gb-bd-r-dl-white-inkjet-printable-blu-ray-double-layer-10-disc-spindle,new
"Penna Bluetooth Keyboard with White Chrome KeycapUS Language Switch-Cherry Mx Blue, ...","ETB 31198
",https://www.ubuy.et/en/product/X3YS9M9G-penna-bluetooth-keyboard-with-white-chrome-keycap-us-language-switch-cherry-mx-blue-baby-pink,new
"ALXCD Ear Gel for iPhone Earpods, Ear Buds Tips, 4 Pair Anti-Slip Soft Silicone ...","ETB 1624
",https://www.ubuy.et/en/product/2M9OWI46-alxcd-ear-gel-for-iphone-earpods-ear-buds-tips-4-pair-anti-slip-soft-silicone-replacement-earbud-tip,new
Westcott 55-Degree Wide Umbrella Reflector with Honeycomb Grids Compatible with ...,"ETB 10102
",https://www.ubuy.et/en/product/2RKYHOC6-westcott-55-degree-wide-umbrella-reflector-with-honeycomb-grids-compatible-with-fj400-godox-bowens-m,new
"SCREENARAMA New Screen Replacement for NV156FHM-N48, FHD 1920x1080, IPS, Glossy, ...","ETB 8237
",https://www.ubuy.et/en/product/3NO6FM4ZW-screenarama-new-screen-replacement-for-nv156fhm-n48-fhd-1920x1080-ips-matte-lcd-led-display-with-tools,new
"mCover Case Compatible for 20192021 15.6"" Acer Aspire 5 A515-54 / A515-55 Series ...","ETB 4550
",https://www.ubuy.et/en/product/8XNJO546-mcover-hard-case-only-for-acer-aspire-5-a515-54-15-6-inch-aqua-not-compatible-with-any-other-aspire-,new
FalconEyes RX-12TD Dimmable 3000K-5600K 50W Waterproof Flexible Studio Light for ...,"ETB 38079
",https://www.ubuy.et/en/product/KEGBYALU-falconeyes-rx-12td-dimmable-3000k-5600k-50w-waterproof-flexible-studio-light-for-photography-rx-12td,new
5000W Voltage Converter Transformer Step Up/Down 110V/220V AC Heavy Duty Voltage ...,"ETB 19486
",https://www.ubuy.et/en/product/3SJSYTC-5000w-voltage-converter-transformer-step-up-down-110v-220v-ac-heavy-duty-voltage-converter-usb-transformer-power-converter-with-dc-5v-usb-port,new
Tamron 35-150mm f/2-2.8 Di III VXD Lens for Sony E INTL Model with 64GB Extreme Pro ...,"ETB 207017
",https://www.ubuy.et/en/product/79HQS5KI8-tamron-35-150mm-f-2-2-8-di-iii-vxd-lens-for-sony-e-intl-model-with-64gb-extreme-pro-sd-card-82mm-filter-set-8-inch-lens-case-memory-card,new
"fast Cat. Cat5e Ethernet Cable 1000ft - 24 AWG, CMR, Insulated Bare Copper Wire Cat ...","ETB 21316
",https://www.ubuy.et/en/product/23Y542W8-fast-cat-cat5e-ethernet-cable-1000ft-24-awg-cmr-insulated-bare-copper-wire-internet-cable-with-fastr,new
"Bathroom Radio AM FM,Hanging Waterproof Shower Clock Radio AM FM Shower Radio Built ...","ETB 3365
",https://www.ubuy.et/en/product/4RN6A3SEQ-bathroom-radio-am-fm-hanging-waterproof-shower-clock-radio-am-fm-shower-radio-built-in-speaker-audio-high-definition,new
2 Pack - Ubiquiti Universal Antenna Mount UB-AM Original Version,"ETB 4436
",https://www.ubuy.et/en/product/4WHA4G3OQ-2-pack-ubiquiti-universal-antenna-mount-ub-am-original-version,new
Kastar Travel Charger Replacement for Panasonic Lumix DMW-BCF10 DMW-BCF10E ...,"ETB 1551
",https://www.ubuy.et/en/product/40U4KVYYY-kastar-travel-charger-for-panasonic-lumix-dmw-bcf10-dmw-bcf10e-dmw-bcf10pp-cga-s-106b-a59-u-lumix-dmc-fh20-dmc-fh22-dmc-fh3-dmc-ft3-dmc-ft4-dmc-fx68,new
Adamanta 32GB 2x16GB DDR4 2666MHz or 2133MHz or 2400MHz PC4-21300 SODIMM 2Rx8 CL19 ...,"ETB 11870
",https://www.ubuy.et/en/product/79PYRMS9Q-adamanta-32gb-2x16gb-ddr4-2666mhz-pc4-21300-sodimm-2rx8-cl19-1-2v-notebook-laptop-memory-upgrade-ram-dram,new
"Alapmk Protective Case for 13.9"" Lenovo Chromebook 3 14/Yoga 920 920-13ikb/Yoga 910 ...","ETB 3218
3966

",https://www.ubuy.et/en/product/1C3TKU0ZS-alapmk-protective-case-cover-for-13-9-lenovo-yoga-920-920-13ikb-yoga-910-910-13ikb-asus-zenbook-pro-dou-14-oled-ux482-asus-chromebook-cx9,new
"G-FAVOR Travel Backpack for Men, Carry On Backpack Flight Approved Convertible ...","ETB 9969
",https://www.ubuy.et/en/product/5C3T75HFY-g-favor-travel-backpack-for-men-women-carry-on-backpack-flight-approved-40l-large-canvas-17-inch-laptop-rucksack-luggage-suitcase-daypack-weekender,new
ASUS ROG Strix NVIDIA GeForce RTX 3060 Ti V2 OC Edition Gaming Graphics Card PCIe ...,"ETB 124538
",https://www.ubuy.et/en/product/53F72Q2OG-asus-rog-strix-nvidia-geforce-rtx-3060-ti-v2-oc-edition-gaming-graphics-card-pcie-4-0-8gb-gddr6-lhr-hdmi-2-1-displayport-1-4a-axial-tech-fan,new
"HP Newest Envy x360 2-in-1 Laptop, 15.6"" Full HD Touchscreen, AMD Ryzen 5 5625U ...","ETB 107304
",https://www.ubuy.et/en/product/3JY1EA-2021-newest-hp-envy-x360-2-in-1-laptop-15-6-fhd-touchscreen-amd-ryzen-5-4500u-8-core-processor-16gb-ram-1tb-ssd-backlit-keyboard-wi-fi-windows-10-home,new
"THE NORTH FACE Jester Everyday Laptop Backpack, Leather Brown/Tnf Black, One Size","ETB 9755
11580

",https://www.ubuy.et/en/product/79QJXMW4Y-the-north-face-jester-school-laptop-backpack,new
"SCREENARAMA New Screen Replacement for Lenovo V130-15IKB, FHD 1920x1080, IPS, ...","ETB 12627
",https://www.ubuy.et/en/product/79QK3N8WW-screenarama-new-screen-replacement-for-lenovo-v130-15ikb-fhd-1920x1080-ips-matte-lcd-led-display-with-tools,new
Nikon Z fc DX-Format Mirrorless Camera with NIKKOR Z 28mm f/2.8 SE Lens and Z DX ...,"ETB 218321
231019

",https://www.ubuy.et/en/product/79QPBV5XS-nikon-z-fc-dx-format-mirrorless-digital-camera-with-nikkor-z-28mm-f-2-8-se-lens-and-z-dx-50-250mm-f-4-5-6-3-vr-lens,new
Oiyagai 5pcs 4 Pin DIN Male Plug Connectors with Black Plastic Handle - Reliable ...,"ETB 1918
",https://www.ubuy.et/en/product/19TH22UCU-oiyagai-5pcs-4-pin-din-male-plug-connectors-with-black-plastic-handle,new
Heavy Duty 400A 48V Bus Bar Tin Plated Copper Power Distribution Block Ground ...,"ETB 6991
",https://www.ubuy.et/en/product/79SWLVIOQ-amomd-heavy-duty-400a-48v-bus-bar-power-distribution-block-ground-busbar-box-8xm10-3-8-terminal-studs-module-design-for-automotive-rv-car,new
"Monoprice USB 2.0 Type-A Male to Type-A Female Extension Cable - Gold Plated, ...","ETB 1256
",https://www.ubuy.et/en/product/ZVSH9A8-monoprice-3-feet-usb-2-0-a-male-to-a-female-extension-28-24awg-cable-gold-plated-105432,new
"SABRE Wireless Window Glass Vibration Alarm With High and Low Sensitivity Settings, ...","ETB 3982
4452

",https://www.ubuy.et/en/product/JMGPB5YY-sabre-hs-ga2-wireless-window-glass-break-vibration-detector-alarm-with-security-warning-decal-diy-ea,new
QuQuyi 9.84ft 5mm Braided Ground Strap Tinned Copper Flat Sleeving Expandable Metal ...,"ETB 2062
",https://www.ubuy.et/en/product/4XQIVXIQO-ququyi-9-84ft-5mm-braided-ground-strap-tinned-copper-flat-sleeving-expandable-metal-sheath-screening-signal-wire-cable-shielded,new
Rotolight NEO 3-3 Light Kit A Portable and On-Camera RGBWW Color LED Light for ...,"ETB 132214
",https://www.ubuy.et/en/product/7A29D9VVS-rotolight-neo-3-3-light-kit-a-portable-and-on-camera-rgbww-color-led-light-for-photography-and-videography-with-built-in-hss-flash,new
