title,price,description,highlight
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=4142,"ETB1,068.00Ex Tax: ETB929.00",Mebtu_ stylish genuine leather men’s flat shoes.-Hand made-100% leather-Well-designed-Comfortab..,existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=4143,"ETB1,068.00Ex Tax: ETB929.00","Quality black leather
loafer shoes with a chain at the frontComfortable flexible rubber soleStylish..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=5715,"ETB2,497.00Ex Tax: ETB2,497.00","Men's
Genuine Leather Short Boots Men's leather short boots have a genuine
leather comfort de..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=5716,"ETB2,219.00Ex Tax: ETB2,219.00",Men's lace up leather modern classic shoePure leather Lace up shoe classic leather casual lace up sh..,existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=5766,"ETB1,665.00Ex Tax: ETB1,448.00",100%Pure leather uppers for style and breathabilityLightweight outsoleCushioned midsole for comforta..,existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=4323,"ETB2,334.00Ex Tax: ETB2,334.00","Mengestu
_ Men's Leather Short Boots -Toe shape: pointed toe, style-Fashion  men's short ..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=4419,ETB962.00Ex Tax: ETB837.00,Mengestu _Men's Leather Lace up  ShoeHand made 100% LeatherSlip-onAvailable size: 39-43Ava..,existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=4420,"ETB1,085.00Ex Tax: ETB1,085.00",Mengestu _Men's Leather Slip-on ShoeHand made 100% LeatherSlip-onAvailable size: 39-43Available..,existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=2262,ETB335.00Ex Tax: ETB292.00,Brown Pure Leather  upperHand Made Open Tode  Men's Sandals Shoe Color- BrownSiz..,existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=4239,"ETB1,415.00Ex Tax: ETB1,231.00",Men's comfortable Lace-up Shoe-Lace-up -Pure Leather-Rubber sole-Available  Size: 39 to 43..,existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=4237,"ETB1,104.00Ex Tax: ETB960.00","Mengestu_ Men's leather lace-up  Comfortable Shoes-Men's leather lace-up shoes
-Lightweight -H..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=4648,"ETB1,104.00Ex Tax: ETB1,104.00",Men's Leather Slip-on ShoeSlip-onHand made 100% LeatherAvailable size: 39-43Available color: Bl..,existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=2192,ETB335.00Ex Tax: ETB292.00,Men's Soft Genuine  Leather shoespure LeatherHand made Synthetic soleAn easy hook-and-loop..,existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=4221,"ETB1,415.00Ex Tax: ETB1,231.00",Mengistu _ Men's Leather shoes- Hand made- Rubber Sole- Lace-up and Velvet Shoe- 100% genu..,existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=4238,"ETB2,334.00Ex Tax: ETB2,030.00","Mengistu
_ Men’s Boots-Waterproof Leather-Lace-up-100% Leather-Rubber sole-Suitable for hiking and..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=5502,"ETB1,415.00Ex Tax: ETB1,230.00",Mengistu _Men’s Velvet Short Boots-Lace-up -Velvet upper-Hand Made-Comfort design all season -Flexib..,existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=5528,"ETB1,415.00Ex Tax: ETB1,231.00","Men's Pure Leather Short Boots Material: quality and soft crocodile print leather upper ,comfor..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=5865,ETB778.00Ex Tax: ETB778.00,Men's leather sandal shoe these sandals are  made to fit a regular width foot classic and genui..,existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=3775,ETB923.00Ex Tax: ETB803.00,"Mesfin
_Men's Genuine Leather Shoe       -100% Pure Leather&nbsp..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=3722,ETB861.00Ex Tax: ETB749.00,"Men's Dress Shoes Modern Slip on Monk Strap Shoe-Hand Made -Genuine Leather -Light weight,..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=3716,ETB861.00Ex Tax: ETB749.00,Men's Comfortable Shoe -Rubber Sole-Genuine Leather-Comfortable lace-up Shoes -DURABLE: Li..,existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=5674,"ETB2,122.00Ex Tax: ETB1,845.00",Mesfine -Men’s Pure Leather shoes 100%Pure leather          The s..,existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=3738,ETB861.00Ex Tax: ETB749.00,"Mesfin_ Men's Leather
shoes-
100%Genuine Leather-
Hand made -
Rubber Sole-
Durable le..",existing
